Site,Mode,ModeFreq,Method
J39/0390-M1,96,0.87,Annual
J39/0405-M1,96,0.89,Annual
J39/0417-M1,96,0.99,Annual
J39/0442-M1,96,0.86,Annual
J39/0485-M1,96,0.93,Annual
J39/0496-M1,96,0.54,Annual
J39/0506-M1,96,0.92,Annual
J39/0516-M1,96,0.99,Annual
J39/0527-M1,96,0.89,Annual
J39/0529-M1,0,0.95,Annual
J39/0556-M1,96,0.82,Annual
J39/0596-M1,96,0.9,Annual
J39/0597-M1,96,0.89,Annual
J39/0603-M1,96,0.9,Annual
J39/0606-M1,96,0.99,Annual
J39/0607-M1,96,0.96,Annual
J39/0617-M1,96,0.9,Annual
J39/0643-M1,96,0.87,Annual
J39/0644-M1,96,0.96,Annual
J39/0646-M1,96,0.68,Annual
J39/0647-M1,96,0.99,Annual
J39/0648-M1,96,0.8,Annual
J39/0651-M1,96,0.99,Annual
J39/0652-M1,96,0.99,Annual
J39/0655-M1,96,0.75,Annual
J39/0655-M2,96,0.78,Annual
J39/0661-M1,96,0.98,Annual
J39/0669-M1,96,0.9,Annual
J39/0689-M1,96,0.95,Annual
J39/0690-M1,96,1,Annual
J39/0696-M1,96,0.94,Annual
J39/0708-M1,96,0.98,Annual
J39/0710-M1,96,0.85,Annual
J39/0719-M1,96,0.67,Annual
J39/0784-M1,96,0.91,Annual
J39/0891-M1,96,nan,Qtr3
J40/0074-M1,96,0.82,Annual
J40/0075-M1,96,0.95,Annual
J40/0082-M1,96,0.93,Annual
J40/0085-M1,96,0.99,Annual
J40/0106-M1,96,0.97,Annual
J40/0153-M1,96,0.99,Annual
J40/0377-M1,78,0.19,Annual
J40/0702-M1,96,0.99,Annual
J40/0719-M1,96,0.99,Annual
J40/0822-M1,96,nan,Qtr1
J40/0923-M1,96,0.84,Annual
J40/0924-M1,96,0.84,Annual
J40/0925-M1,96,0.84,Annual
J40/0932-M1,96,0.87,Annual
J40/0940-M1,96,0.99,Annual
J40/0971-M1,96,0.97,Annual
J40/1012-M1,96,0.99,Annual
J40/1068-M1,96,0.98,Annual
J40/1099-M1,96,0.74,Annual
J40/1103-M1,96,0.92,Annual
J40/1112-M1,96,0.95,Annual
J41/0062-M2,0,0.99,Annual
J41/0089-M1,96,0.9,Annual
J41/0089-M2,96,0.9,Annual
J41/0090-M1,96,0.9,Annual
J41/0110-M1,96,0.99,Annual
J41/0121-M1,96,0.64,Annual
J41/0124-M1,96,0.98,Annual
J41/0197-M1,96,0.97,Annual
K33/0001-M1,0,0.89,Annual
K34/0027-M1,0,0.89,Annual
K35/0028-M1,0,0.89,Annual
K35/0029-M1,96,0.94,Annual
K35/0031-M1,96,0.9,Annual
K35/0033-M1,96,0.97,Annual
K35/0044-M1,96,0.99,Annual
K35/0055-M1,96,0.99,Annual
K36/0043-M1,96,0.99,Annual
K36/0085-M1,96,0.87,Annual
K36/0086-M1,96,0.97,Annual
K36/0109-M1,96,0.96,Annual
K36/0110-M1,96,0.99,Annual
K36/0116-M1,96,0.72,Annual
K36/0186-M1,0,0.99,Annual
K36/0201-M1,96,0.8,Annual
K36/0203-M1,96,nan,Qtr3
